Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
Mario Party DS,2007,Misc,Nintendo,72,E,8.91
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,96,M,8.84
Super Mario Kart,1992,Racing,Nintendo,,,8.76
FIFA 16,2015,Sports,Electronic Arts,82,E,8.6
Halo 2,2004,"Shooter,Action,Adventure,Role-playing,Strategy",Microsoft Game Studios,95,M,8.49
Wii Party,2010,Misc,Nintendo,68,E,8.39
Mario Party 8,2007,Misc,Nintendo,62,E,8.28
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,,,8.21
FIFA Soccer 13,2012,"Action,Strategy,Simulation,Platformer",Electronic Arts,88,E,8.17
GoldenEye 007,1997,Shooter,Nintendo,,,8.09
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo,,,8.08
Final Fantasy X,2001,"Role-Playing,Action,Adventure,Role-playing",Sony Computer Entertainment,92,T,8.05
The Sims 3,2009,Simulation,Electronic Arts,86,T,8.01
Mario & Sonic at the Olympic Games,2007,Sports,Sega,,,7.99
Final Fantasy VIII,1999,"Role-Playing,Strategy,Simulation,Sports,Puzzle",SquareSoft,90,T,7.86
Pac-Man,1982,Puzzle,Atari,,,7.81
Pok\xc3\xa9mon Platinum Version,2008,Role-Playing,Nintendo,83,E,7.72
Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive,88,M,7.69
Call of Duty: Advanced Warfare,2014,"Shooter,Action,Adventure,Role-playing,Strategy",Activision,83,M,7.68
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,,,7.62
The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo,,,7.6
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,,,7.58
Super Mario Galaxy 2,2010,Platform,Nintendo,97,E,7.54
Super Mario Bros. 2,1988,"Platform,Action,Adventure,Role-playing,Strategy,Simulation",Nintendo,,,7.46
Call of Duty: Black Ops 3,2015,Shooter,Activision,,,7.44
Call of Duty: World at War,2008,Shooter,Activision,84,M,7.42
Fallout 4,2015,Role-Playing,Bethesda Softworks,87,M,7.41
Battlefield 3,2011,Shooter,Electronic Arts,84,M,7.33
Uncharted 4: A Thiefs End,2016,Shooter,Sony Computer Entertainment,93,T,7.28
Mario Kart 8,2014,Racing,Nintendo,88,E,7.23
Need for Speed Underground,2003,Racing,Electronic Arts,85,E,7.2
Just Dance,2009,Misc,Ubisoft,49,E10+,7.2
Battlefield 3,2011,"Shooter,Action,Adventure,Role-playing,Strategy",Electronic Arts,85,M,7.18
Tekken 3,1998,Fighting,Sony Computer Entertainment,96,T,7.16
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,95,T,7.16
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,91,E,7.13
Super Smash Bros. Melee,2001,Fighting,Nintendo,92,T,7.07
Mario Kart: Double Dash!!,2003,Racing,Nintendo,,,6.95
Need for Speed Underground 2,2004,"Racing,Strategy,Simulation,Sports,Racing,Puzzle,Fighting,Platformer",Electronic Arts,82,E,6.9
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,88,T,6.83
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,,,6.82
Just Dance 4,2012,Misc,Ubisoft,74,E10+,6.76
Gears of War 2,2008,Shooter,Microsoft Game Studios,93,M,6.75
Uncharted 3: Drakes Deception,2011,Action,Sony Computer Entertainment,92,T,6.74
Zumba Fitness,2010,Sports,505 Games,,E,6.72
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,94,M,6.69
Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment,96,T,6.67
FIFA 12,2011,Sports,Electronic Arts,,,6.65
Big Brain Academy,2005,Misc,Nintendo,74,E,6.63
The Legend of Zelda,1986,Action,Nintendo,,,6.51
Red Dead Redemption,2010,Action,Take-Two Interactive,95,M,6.51
FIFA 14,2013,Sports,Electronic Arts,86,E,6.48
Donkey Kong Country Returns,2010,Platform,Nintendo,87,E,6.47
Assassins Creed III,2012,Action,Ubisoft,85,M,6.46
Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios,97,M,6.43
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,92,M,6.42
Pok\xc3\xa9mon Emerald Version,2004,Role-Playing,Nintendo,76,E,6.41
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,85,E,6.4
Pok\xc3\xa9mon Crystal Version,2000,Role-Playing,Nintendo,,,6.39
Red Dead Redemption,2010,Action,Take-Two Interactive,95,M,6.35
Halo 3: ODST,2009,Shooter,Microsoft Game Studios,83,M,6.34
Super Mario Sunshine,2002,Platform,Nintendo,92,E,6.31
World of Warcraft,2004,Role-Playing,Activision,93,T,6.31
Street Fighter II: The World Warrior,1992,Fighting,Capcom,,,6.3
Driver,1999,Action,GT Interactive,87,T,6.27
Gears of War 3,2011,Shooter,Microsoft Game Studios,91,M,6.21
Kinect Sports,2010,Sports,Microsoft Game Studios,73,E10+,6.19
Gears of War,2006,Shooter,Microsoft Game Studios,94,M,6.09
FIFA 15,2014,Sports,Electronic Arts,82,E,6.08
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,96,M,6.05
Sonic the Hedgehog 2,1992,Platform,Sega,,,6.03
Metal Gear Solid,1998,Action,Konami Digital Entertainment,94,M,6.03
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment,94,M,5.99
Final Fantasy XII,2006,Role-Playing,Square Enix,92,T,5.95
The Last of Us,2013,Action,Sony Computer Entertainment Europe,95,M,5.89
LittleBigPlanet,2008,Platform,Sony Computer Entertainment,95,E,5.82
Resident Evil 2,1998,Action,Virgin Interactive,89,M,5.82
Call of Duty: Infinite Warfare,2016,Shooter,Activision,77,M,5.8
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo,87,E10+,5.78
Tekken 2,1996,Fighting,Sony Computer Entertainment,89,T,5.74
Grand Theft Auto V,2014,Action,Take-Two Interactive,97,M,5.74
Destiny,2014,Shooter,Activision,76,T,5.66
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,80,E10+,5.64
Cooking Mama,2006,Simulation,505 Games,67,E,5.64
Tetris,1988,Puzzle,Nintendo,,,5.58
Super Smash Bros.,1999,Fighting,Nintendo,,,5.55
Assassins Creed II,2009,Action,Ubisoft,91,M,5.55
Assassins Creed,2007,Adventure,Ubisoft,81,M,5.54
Forza Motorsport 3,2009,Racing,Microsoft Game Studios,92,E,5.49
Super Mario Advance,2001,Platform,Nintendo,84,E,5.49
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,96,T,5.48
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,81,T,5.48
Mario Kart: Super Circuit,2001,Racing,Nintendo,93,E,5.47
Super Mario World,2001,Platform,Nintendo,,,5.46
Pokemon Stadium,1999,Strategy,Nintendo,,,5.45
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,66,E,5.42
Minecraft,2014,Misc,Sony Computer Entertainment,,,5.41
Call of Duty: World at War,2008,Shooter,Activision,85,M,5.4
Tomodachi Life,2013,Simulation,Nintendo,71,E,5.39
Dr. Mario,1989,Puzzle,Nintendo,,,5.34
Final Fantasy XIII,2009,Role-Playing,Square Enix,83,T,5.34
Pokemon Pinball,1999,Misc,Nintendo,,,5.31
Final Fantasy IX,2000,Role-Playing,SquareSoft,94,T,5.3
Battlefield 1,2016,Shooter,Electronic Arts,89,M,5.3
New Super Mario Bros. U,2012,Platform,Nintendo,84,E,5.29
Assassins Creed III,2012,Action,Ubisoft,84,M,5.29
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,85,T,5.29
Call of Duty: Advanced Warfare,2014,Shooter,Activision,81,M,5.28
Donkey Kong 64,1999,Platform,Nintendo,,,5.27
Assassins Creed II,2009,Action,Ubisoft,90,M,5.27
Tomb Raider II,1997,Action,Eidos Interactive,85,T,5.24
Madden NFL 2004,2003,Sports,Electronic Arts,94,E,5.23
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,89,T,5.21
Super Mario Bros. 3,2003,Platform,Nintendo,,,5.2
Professor Layton and the Curious Village,2007,Puzzle,Nintendo,85,E,5.19
Super Mario Land 3: Wario Land,1994,Platform,Nintendo,,,5.19
FIFA Soccer 13,2012,Action,Electronic Arts,90,E,5.17
Diablo III,2012,Role-Playing,Activision,88,M,5.17
