Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
SpongeBob SquarePants: Game Boy Advance Video Volume 1,2004,Misc,THQ,,,640000
Konami Collectors Series: Arcade Advanced,2002,Misc,Konami Digital Entertainment,78,E,640000
Dragon Ball: Raging Blast 2,2010,Fighting,Namco Bandai Games,57,T,640000
Jampack Volume 13 (RP-T),2005,Misc,Sony Computer Entertainment,,,640000
NHL 13,2012,Sports,Electronic Arts,84,E10+,640000
Madden NFL 2001,2000,Sports,Electronic Arts,,,640000
Cruisn World,1998,Racing,Nintendo,,,640000
Minecraft: Story Mode,2015,Adventure,Mojang,,,640000
Lemony Snickets A Series of Unfortunate Events,2004,Platform,Activision,63,E,640000
Lost Planet: Extreme Condition,2008,Shooter,Capcom,67,T,640000
Rocksmith 2014,2014,Misc,Ubisoft,,,630000
X-Men Legends II: Rise of Apocalypse,2005,Role-Playing,Activision,82,T,630000
FIFA 15,2014,Sports,Electronic Arts,,E,630000
Nightmare Creatures,1997,Action,Sony Computer Entertainment,,,630000
SingStar Queen,2009,Misc,Sony Computer Entertainment,73,T,630000
LEGO Star Wars II: The Original Trilogy,2006,Action,LucasArts,81,E10+,630000
Disney Sing It: Party Hits,2010,Misc,Disney Interactive Studios,,E,630000
Taiko no Tatsujin: Chibi Dragon to Fushigi na Or,2012,Misc,Namco Bandai Games,,,630000
Rock Band 3,2010,Misc,MTV Games,91,T,630000
Dragon Age II,2011,Action,Electronic Arts,82,M,630000
Tony Hawks Pro Skater 2x,2001,Sports,Activision,78,T,630000
NBA Live 08,2007,Sports,Electronic Arts,73,E,630000
Sim Theme Park,1999,Strategy,Electronic Arts,,,630000
Shin Megami Tensei: Persona 3 Portable,2009,Role-Playing,Ghostlight,89,M,630000
FIFA Soccer 2003,2002,Sports,Electronic Arts,88,E,630000
The Lord of the Rings: Conquest,2009,Action,Electronic Arts,55,T,630000
Monster Hunter 2,2006,Role-Playing,Capcom,,,630000
NASCAR 06: Total Team Control,2005,Racing,Electronic Arts,78,E,630000
Dogz,2004,Simulation,Ubisoft,48,E,630000
Super Castlevania IV,1991,Platform,Konami Digital Entertainment,,,630000
A Bugs Life,1998,Platform,Activision,,,630000
White Knight Chronicles II,2010,Role-Playing,Sony Computer Entertainment,60,T,630000
Iron Man,2008,Action,Sega,44,T,630000
Wolfenstein,2009,Shooter,Activision,71,M,630000
The Sims 3: Generations,2011,Simulation,Electronic Arts,70,T,630000
Mobile Suit Z Gundam: AEUG vs. Titans,2003,Fighting,Namco Bandai Games,,,630000
Juiced 2: Hot Import Nights,2007,Racing,THQ,68,T,630000
The Walking Dead: Survival Instinct,2013,Shooter,Activision,32,M,630000
Ape Escape 2,2002,Platform,Sony Computer Entertainment,82,E,630000
X-Man,1982,Action,Universal Gamex,,,630000
Sega Rally Revo,2007,Racing,Sega,75,E,630000
Frozen: Olafs Quest,2013,Platform,Disney Interactive Studios,,,630000
Crash of the Titans,2007,Action,Vivendi Games,,E10+,630000
Shin Megami Tensei: Persona 3 FES,2007,Role-Playing,Tecmo Koei,89,M,630000
Angry Birds Trilogy,2012,Action,Activision,62,E,630000
FIFA Soccer 2002,2001,Sports,Electronic Arts,82,E,630000
Condemned 2: Bloodshot,2008,Action,Sega,80,M,630000
Final Fantasy VII International,1997,Role-Playing,Square,,,630000
Okami,2006,Action,Capcom,93,T,630000
NHL 2001,2000,Sports,Electronic Arts,88,E,630000
Crysis 3,2013,Shooter,Electronic Arts,76,M,630000
Just Dance 3,2011,Misc,Ubisoft,75,E10+,630000
Buzz Lightyear of Star Command,2000,Platform,Activision,54,E,630000
Namco Museum,2002,Misc,Namco Bandai Games,62,E,630000
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,Activision,,,630000
Ghostbusters: The Video Game,2009,Action,Atari,79,T,630000
Cabelas Big Game Hunter (2008),2007,Sports,Activision,,T,630000
Tony Hawks Project 8,2006,Sports,Activision,76,T,630000
XCOM: Enemy Unknown,2012,Strategy,Take-Two Interactive,90,M,630000
Nobunaga no Yabou: Haouden,1993,Strategy,Tecmo Koei,,,620000
Virtua Cop,1995,Shooter,Sega,,,620000
Metal Gear Solid 2: Substance,2002,Action,Konami Digital Entertainment,87,M,620000
Tony Hawks American Wasteland,2005,Sports,Activision,77,T,620000
WWF in Your House,1996,Fighting,Acclaim Entertainment,,,620000
Wild ARMs 3,2002,Role-Playing,Ubisoft,78,T,620000
NBA ShootOut 97,1997,Sports,Sony Computer Entertainment,,,620000
Family Feud: 2010 Edition,2009,Misc,Ubisoft,,E,620000
Madden NFL 07,2006,Sports,Electronic Arts,82,E,620000
Battlezone,1982,Shooter,Atari,,,620000
Tiger Woods PGA Tour 2004,2003,Sports,Electronic Arts,89,E,620000
Test Drive Unlimited 2,2011,Racing,Atari,70,T,620000
Tak 2: The Staff of Dreams,2004,Platform,THQ,71,E,620000
LEGO Pirates of the Caribbean: The Video Game,2011,Action,Disney Interactive Studios,71,E10+,620000
Donkey Kong Barrel Blast,2007,Racing,Nintendo,46,E,620000
The Princess and the Frog,2009,Platform,Disney Interactive Studios,,E,620000
Viewtiful Joe,2003,Action,Capcom,93,T,620000
Guitar Hero: Metallica,2009,Misc,Activision,86,T,620000
The Urbz: Sims in the City,2004,Simulation,Electronic Arts,72,E,620000
Beetle Adventure Racing!,1999,Racing,Electronic Arts,,,620000
Disney's 102 Dalmatians: Puppies to the Rescue,2000,Platform,Eidos Interactive,,E,620000
Strike Force Bowling,2004,Sports,Play It,48,E,620000
Red Steel 2,2010,Shooter,Ubisoft,80,T,620000
Scribblenauts: Unlimited,2012,Action,Warner Bros. Interactive Entertainment,73,E10+,620000
Dark Souls II,2015,Role-Playing,Namco Bandai Games,,,620000
Halloween,1982,Action,Wizard Video Games,,,620000
DJ Hero 2,2010,Misc,Activision,88,T,620000
Disney Infinity,2013,Action,Disney Interactive Studios,71,E10+,620000
Bass Landing,1999,Sports,ASCII Entertainment,,,620000
XGRA: Extreme G-Racing Association,2004,Racing,Eidos Interactive,68,T,620000
Bolt,2008,Adventure,Disney Interactive Studios,,,620000
Marios Picross,1995,Puzzle,Nintendo,,,620000
Pac-Man Players Choice Bundle,2003,Misc,Namco Bandai Games,,,620000
Fighters MEGAMiX,1996,Fighting,Sega,,,620000
Bahamut Lagoon,1996,Role-Playing,SquareSoft,,,620000
Warriors Orochi 3,2011,Action,Ubisoft Annecy,70,T,620000
Prince of Persia: The Forgotten Sands,2010,Action,Ubisoft,74,T,620000
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,73,E,620000
Plants vs. Zombies: Garden Warfare,2014,Shooter,Electronic Arts,75,E10+,620000
Tomb Raider III: Adventures of Lara Croft,1998,Action,Eidos Interactive,,T,620000
Toshochu: Run for Money,2012,Adventure,Namco Bandai Games,,,620000
Dragon Quest Monsters: Joker 2 Professional,2011,Role-Playing,Square Enix,,,620000
NFL Quarterback Club 99,1998,Sports,Acclaim Entertainment,,,620000
Borderlands: The Pre-Sequel,2014,Shooter,Take-Two Interactive,77,M,620000
Super Robot Taisen \xce\xb1 Gaiden,2001,Strategy,Banpresto,,,620000
Battle of Giants: Dragons,2009,Strategy,Ubisoft,,E10+,620000
Tiger Woods PGA Tour 12: The Masters,2011,Sports,Electronic Arts,80,E,620000
Wall-E,2008,Platform,THQ,50,E,620000
Start the Party!,2010,Misc,Sony Computer Entertainment,,,620000
NieR,2010,Role-Playing,Square Enix,68,M,620000
Harry Potter and the Half-Blood Prince,2009,Action,Electronic Arts,48,E,620000
Formula 1: Championship Edition,2006,Racing,Sony Computer Entertainment,,,610000
Phoenix Wright: Ace Attorney - Trials and Tribulations,2007,Adventure,Capcom,,,610000
NBA 2K9,2008,Sports,Take-Two Interactive,82,E,610000
SpongeBos Atlantis SquarePantis,2007,Action,THQ,,E,610000
Jak and Daxter: The Lost Frontier,2009,Platform,Sony Computer Entertainment,71,E10+,610000
SingStar Singalong With Disney,2008,Misc,Sony Computer Entertainment,,,610000
Tomb Raider (2013),2014,Action,Square Enix,,,610000
NFL Fever 2003,2002,Sports,Microsoft Game Studios,72,E,610000
Wet,2009,Shooter,Bethesda Softworks,70,M,610000
Samurai Warriors 2,2006,Action,Tecmo Koei,58,T,610000
Cooking Mama 4: Kitchen Magic!,2011,Simulation,505 Games,56,E,610000
Kinect Sports Rivals,2014,Sports,Microsoft Game Studios,60,E10+,610000
The Black Eyed Peas Experience,2011,Misc,Ubisoft,,T,610000
Fire Emblem: Shadow Dragon,2008,Role-Playing,Nintendo,81,E10+,610000
2 Games in 1: Sonic Battle & ChuChu Rocket!,2005,Misc,THQ,,,610000
Metroid Prime: Trilogy,2009,Shooter,Nintendo,91,T,610000
Robotech: Battlecry,2002,Shooter,TDK Mediactive,72,T,610000
Disney Universe,2011,Action,Disney Interactive Studios,70,E10+,610000
Dora the Explorer: Super Spies,2004,Platform,Gotham Games,,E,610000
Tearaway,2013,Adventure,Sony Computer Entertainment Europe,87,E,610000
Advance Wars: Days of Ruin,2008,Strategy,Nintendo,86,E10+,610000
WWE SmackDown vs. Raw 2010,2009,Fighting,THQ,,T,610000
Time Crisis 3,2003,Shooter,Namco Bandai Games,81,T,610000
Texas Hold Em Poker,2004,Misc,Majesco Entertainment,49,E,610000
Vanquish,2010,Shooter,Sega,84,M,610000
Ganbaru Watashi no Kakei Diary,2007,Misc,Nintendo,,,610000
Small Soldiers,1998,Platform,Electronic Arts,,,610000
Half-Life 2,2005,Shooter,Electronic Arts,90,M,610000
Duke Nukem: Total Meltdown,1997,Shooter,GT Interactive,,,610000
Tony Hawk: RIDE,2009,Sports,Activision,46,E10+,610000
Major League Baseball 2K8,2008,Sports,Bethesda Softworks,70,E,610000
Sacred 2: Fallen Angel,2009,Role-Playing,Deep Silver,70,M,610000
pro evolution soccer 2011,2010,Sports,Konami Digital Entertainment,79,E,610000
Major League Baseball 2K9,2009,Sports,Spike,64,E,610000
Dragon Ball Z: Ultimate Tenkaichi,2011,Fighting,Namco Bandai Games,58,T,610000
WWE 2K16,2015,Sports,Take-Two Interactive,72,T,610000
Final Fantasy IV Advance,2005,Role-Playing,Nintendo,85,E10+,610000
Madden NFL 2003,2002,Sports,Electronic Arts,76,E,610000
Just Dance 2015,2014,Misc,Ubisoft,,E10+,610000
Petz: Dogz Pack,2008,Simulation,Ubisoft,,E,610000
Mario & Sonic at the Rio 2016 Olympic Games,2016,Action,Nintendo,,,610000
Harry Potter and the Goblet of Fire,2005,Action,Electronic Arts,71,E,610000
Tomb Raider Chronicles,1999,Action,Eidos Interactive,63,T,610000
Dragon Ball Z: Buus Fury,2004,Action,Atari,62,E,610000
Madden NFL 2002,2001,Sports,Electronic Arts,89,E,610000
Spider-Man: Mysterios Menace,2001,Action,Activision,84,E,610000
Madden NFL 2000,1999,Sports,Electronic Arts,,,610000
Game & Watch Gallery 4,2002,Misc,Nintendo,,,610000
MySims Racing,2009,Racing,Electronic Arts,67,E,610000
Pac-Man Party,2010,Misc,Namco Bandai Games,59,E10+,610000
Naruto: Ultimate Ninja,2003,Fighting,Atari,75,T,610000
Cabelas Monster Buck Hunter,2010,Sports,Activision,,T,610000
LEGO The Hobbit,2014,Action,Warner Bros. Interactive Entertainment,72,E10+,600000
Tony Hawks Underground,2003,Sports,Activision,86,E,600000
World of Zoo,2009,Simulation,THQ,,E,600000
Monster Trucks,2004,Racing,Majesco Entertainment,,E,600000
Shadow The Hedgehog,2005,Platform,Sega,45,E10+,600000
Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,80,E10+,600000
NHL 15,2014,Sports,Electronic Arts,60,E10+,600000
Wave Race: Blue Storm,2001,Racing,Nintendo,80,E,600000
Aliens: Colonial Marines,2013,Shooter,Sega,43,M,600000
Dead Island: Riptide,2013,Action,Deep Silver,62,M,600000
Backyard Wrestling: Dont Try This at Home,2003,Fighting,Eidos Interactive,51,M,600000
Yakuza: Dead Souls,2011,Shooter,Sega,64,M,600000
Fight Night Round 2,2005,Fighting,Electronic Arts,88,T,600000
MonHun Nikki: Poka Poka Ailu Mura,2010,Role-Playing,Capcom,,,600000
NBA 2K8,2007,Sports,Take-Two Interactive,72,E,600000
Dynasty Warriors 8,2013,Action,Tecmo Koei,68,T,600000
Total War: Shogun 2,2011,Strategy,Sega,90,T,600000
Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,,M,600000
Suikoden,1995,Role-Playing,Konami Digital Entertainment,,,600000
Just Dance 2014,2013,Misc,Ubisoft,72,E10+,600000
Secret Agent Clank,2009,Platform,Sony Computer Entertainment,61,E10+,600000
Call of Juarez: Bound in Blood,2009,Shooter,Ubisoft,77,M,600000
Fighters Uncaged,2010,Fighting,Ubisoft,32,T,600000
Wipeout: The Game,2010,Misc,Activision,,E,600000
Rayman Arena,2001,Racing,Ubisoft,63,E,600000
Jaws Unleashed,2006,Action,THQ,52,M,600000
Puyo Puyo Sun,1997,Puzzle,Compile,,,600000
Half-Life,2001,Shooter,Vivendi Games,87,M,600000
Mickeys Speedway USA,2000,Racing,Nintendo,,,600000
International Superstar Soccer 64,1997,Sports,Konami Digital Entertainment,,,600000
Okami,2008,Action,Capcom,90,T,600000
New Carnival Games,2010,Misc,Take-Two Interactive,,E,600000
NASCAR Heat 2002,2001,Racing,Infogrames,81,E,600000
Split/Second,2010,Racing,Disney Interactive Studios,82,E10+,600000
Avatar: The Game,2009,Action,Ubisoft,,,600000
The Golden Compass,2007,Action,Sega,43,E10+,600000
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007,Action,Activision,,,600000
The Golden Compass,2007,Action,Sega,35,E10+,600000
From TV Animation One Piece: Grand Battle 2,2002,Fighting,Namco Bandai Games,,,600000
BeatMania Append 3rdMix,1998,Simulation,Konami Digital Entertainment,,,600000
New Play Control! Pikmin 2,2009,Strategy,Nintendo,,,600000
Muramasa: The Demon Blade,2009,Role-Playing,Rising Star Games,81,T,600000
Disney TH!NK Fast: The Ultimate Trivia Showdown,2008,Misc,Disney Interactive Studios,,,600000
Xena: Warrior Princess,1998,Adventure,Electronic Arts,,,600000
Littlest Pet Shop: Garden,2008,Simulation,Electronic Arts,,E,600000
Rocket League,2016,Sports,505 Games,85,E,600000
Tony Hawk: RIDE,2009,Sports,Activision,44,E10+,600000
Front Mission,1995,Strategy,SquareSoft,,,600000
New Play Control! Donkey Kong Jungle Beat,2008,Platform,Nintendo,,,600000
Guitar Hero Live,2015,Misc,Activision,81,T,600000
Major League Baseball 2K7,2007,Sports,Spike,71,E,600000
Dai-2-Ji Super Robot Taisen \xce\xb1,2003,Strategy,Banpresto,,,600000
PGR3 - Project Gotham Racing 3,2005,Racing,Microsoft Game Studios,,,600000
SimCity DS,2007,Simulation,Electronic Arts,69,E,600000
Littlest Pet Shop: Jungle,2008,Simulation,Electronic Arts,,E,590000
Hot Wheels: Stunt Track Challenge,2004,Racing,THQ,62,E,590000
Assassins Creed: Brotherhood,2011,Action,Ubisoft,88,M,590000
Dai-3-Ji Super Robot Taisen \xce\xb1: Shuuen no Ginga e,2005,Strategy,Banpresto,,,590000
Jikkyou Powerful Pro Yakyuu 97 Kaimakuban,1997,Sports,Konami Digital Entertainment,,,590000
Monopoly,2008,Misc,Electronic Arts,56,E,590000
CyberTiger,1998,Sports,Electronic Arts,,,590000
Jampack Fall 2001,2001,Misc,Sony Computer Entertainment,,,590000
Dead Space,2008,Action,Electronic Arts,86,M,590000
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,80,T,590000
NFL Blitz 2001,2000,Sports,Midway Games,70,E,590000
Jikkyou Powerful Pro Yakyuu 98 Kaimakuban,1998,Sports,Konami Digital Entertainment,,,590000
Rock Band 2,2008,Misc,MTV Games,,T,590000
NHL 11,2010,Sports,Electronic Arts,88,E10+,590000
Yakuza 5,2012,Action,Sega,83,M,590000
BurgerTime,1981,Puzzle,Mattel Interactive,,,590000
Ben 10: Alien Force,2008,Action,Koch Media,,E10+,590000
2002 FIFA World Cup,2002,Sports,Electronic Arts,73,E,590000
MVP Baseball 2004,2004,Sports,Electronic Arts,90,E,590000
Crash Bandicoot: The Wrath of Cortex,2002,Platform,Universal Interactive,62,E,590000
Smurf: Rescue In Gargamels Castle,1981,Action,Coleco,,,590000
Beijing 2008,2008,Sports,Sega,,,590000
Pokemon Trozei!,2005,Puzzle,Nintendo,,,590000
NBA 2K7,2006,Sports,Take-Two Interactive,84,E,590000
Ready 2 Rumble Boxing,1999,Sports,Midway Games,,,590000
Extreme-G,1997,Racing,Acclaim Entertainment,,,590000
Spelling Challenges and more!,2007,Misc,505 Games,,,590000
Dead or Alive Xtreme Beach Volleyball,2003,Sports,Microsoft Game Studios,73,M,590000
Tales of Rebirth,2004,Role-Playing,Namco Bandai Games,,,590000
Silent Hill: Shattered Memories,2010,Action,Konami Digital Entertainment,77,M,590000
Metal Gear Solid V: Ground Zeroes,2014,Action,Konami Digital Entertainment,66,M,590000
Disney Sing It: Family Hits,2010,Misc,Disney Interactive Studios,,E,590000
Blur,2010,Racing,Activision,82,E10+,590000
Kane & Lynch 2: Dog Days,2010,Shooter,Square Enix,,,590000
Barbie: Race & Ride,1999,Action,Sony Computer Entertainment,,,590000
Madden NFL 06,2005,Sports,Electronic Arts,74,E,590000
Asphalt: Urban GT,2004,Racing,Ubisoft,60,E,590000
Disney Sing It! High School Musical 3: Senior Year,2008,Misc,Disney Interactive Studios,,,590000
Mega Man Anniversary Collection,2004,Platform,Capcom,81,E,590000
Skylanders SWAP Force,2013,Platform,Activision,89,E10+,590000
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",2010,Shooter,Activision,,,590000
Harvest Moon: Friends of Mineral Town,2003,Simulation,Ubisoft,81,E,590000
Backyard NBA Basketball,2003,Sports,Atari,,,590000
Farming Simulator 17,2016,Simulation,Focus Home Interactive,69,E,590000
Naruto: The Broken Bond,2008,Action,Ubisoft,80,T,590000
WarioWare D.I.Y.,2009,Misc,Nintendo,82,E,590000
Kirbys Dream Course,1994,Sports,Nintendo,,,590000
Iron Man,2008,Action,Sega,44,T,590000
The Fight: Lights Out,2010,Fighting,Sony Computer Entertainment,48,T,590000
Deus Ex: Human Revolution,2011,Shooter,Square Enix,90,M,580000
Mega Man X7,2003,Action,Capcom,58,E,580000
MLB 11: The Show,2011,Sports,Sony Computer Entertainment,90,E,580000
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,2008,Action,THQ,,E,580000
The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,69,E10+,580000
Final Fantasy Anniversary Edition,2007,Role-Playing,Square Enix,67,E10+,580000
LEGO Indiana Jones 2: The Adventure Continues,2009,Action,Activision,,E10+,580000
SoulCalibur V,2012,Fighting,Namco Bandai Games,77,T,580000
Tokimeki Memorial: Forever with You,1995,Simulation,Konami Digital Entertainment,,,580000
Diablo,1997,Role-Playing,Electronic Arts,,,580000
FIFA Soccer,2012,Sports,Electronic Arts,79,E,580000
Q*bert,1982,Puzzle,Parker Bros.,,,580000
Romancing SaGa,2005,Role-Playing,Square Enix,58,E10+,580000
Lost: Via Domus,2008,Action,Ubisoft,55,T,580000
Top Spin 3,2008,Action,Take-Two Interactive,68,E,580000
Game Party in Motion,2010,Misc,Warner Bros. Interactive Entertainment,33,E,580000
The Lord of the Rings: The Third Age,2004,Role-Playing,Electronic Arts,73,T,580000
Call of Duty: Black Ops,2010,Shooter,Activision,74,T,580000
Just Dance 2016,2015,Misc,Ubisoft,73,E10+,580000
Sonic & All-Stars Racing Transformed,2012,Racing,Sega,,,580000
NCAA Football 09,2008,Sports,Electronic Arts,81,E,580000
Jeopardy!,2010,Misc,THQ,,,580000
Kinect Rush: A Disney Pixar Adventure,2012,Adventure,Microsoft Game Studios,68,E,580000
Sammy Sosa High Heat Baseball 2001,2000,Sports,3DO,,,580000
Guitar Hero: Smash Hits,2009,Misc,Activision,74,T,580000
Terminator 3: Rise of the Machines,2003,Action,Atari,38,T,580000
Alice: Madness Returns,2011,Adventure,Electronic Arts,70,M,580000
Tom Clancys HAWX,2009,Action,Ubisoft,73,T,580000
Shin Megami Tensei IV,2013,Role-Playing,Atlus,83,M,580000
International Superstar Soccer 98,1998,Sports,Konami Digital Entertainment,,,580000
FIFA: Road to  World Cup 98,1997,Sports,Electronic Arts,,,580000
World Cup 98,1998,Sports,Electronic Arts,,,580000
NHL 12,2011,Sports,Electronic Arts,86,E10+,580000
NASCAR: Dirt to Daytona,2002,Racing,Monster Games,84,E,580000
Unreal Tournament,2000,Shooter,Infogrames,77,M,580000
Digimon World 2,2000,Role-Playing,Namco Bandai Games,42,E,580000
Tales of Phantasia,1998,Role-Playing,Namco Bandai Games,,,580000
Prince of Persia: The Two Thrones,2005,Action,Ubisoft,85,M,580000
Xenosaga Episode II: Jenseits von Gut und B\xc3\xb6se,2004,Role-Playing,Sony Computer Entertainment,,,580000
Gex: Enter the Gecko,1998,Platform,BMG Interactive Entertainment,,,580000
Shrek 2: Beg for Mercy,2004,Adventure,Activision,,,580000
FIFA Soccer 10,2009,Sports,Electronic Arts,,E,580000
XCOM: Enemy Unknown,2012,Strategy,Take-Two Interactive,89,M,580000
Cabelas Dangerous Hunts 2011,2010,Sports,Activision,,T,580000
JoJos Bizarre Adventure: All Star Battle,2013,Fighting,Namco Bandai Games,71,T,580000
Contra: Shattered Soldier,2002,Shooter,Konami Digital Entertainment,78,T,580000
Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,,E,580000
Skylanders: Spyros Adventure,2011,Action,Activision,82,E10+,580000
Championship Motocross featuring Ricky Carmichael,1998,Racing,THQ,,,580000
Dragon Ball Z: Chou Saiya Densetsu,1992,Role-Playing,Namco Bandai Games,,,580000
Rune Factory 4,2012,Role-Playing,Xseed Games,78,E10+,580000
Final Fantasy: The 4 Heroes of Light,2009,Role-Playing,Square Enix,71,E10+,580000
Rayman Legends,2013,Platform,Ubisoft,91,E10+,580000
Fire Emblem: Seisen no Keifu,1996,Strategy,Nintendo,,,580000
Tenchu 2: Birth of the Stealth Assassins,2000,Action,Activision,77,M,580000
Go Diego Go! Great Dinosaur Rescue,2008,Action,Take-Two Interactive,,,580000
Tony Hawks Pro Skater 4,2002,Sports,Activision,91,T,580000
Naruto: Uzumaki Chronicles 2,2006,Action,Namco Bandai Games,52,T,580000
NHL 06,2005,Sports,Electronic Arts,78,E10+,580000
WWE 2K15,2014,Sports,Take-Two Interactive,56,T,580000
Parasite Eve II,1999,Role-Playing,SquareSoft,79,M,580000
NFL Blitz 2000,1999,Sports,Midway Games,,,580000
Skate it,2008,Sports,Electronic Arts,70,E,580000
London 2012: The Official Video Game of the Olympic Games,2012,Sports,Sega,,,580000
Madden NFL 2002,2001,Sports,Electronic Arts,90,E,580000
Phineas and Ferb: Across the 2nd Dimension,2011,Action,Disney Interactive Studios,76,E10+,580000
NCAA Football 10,2009,Sports,Electronic Arts,,E,580000
Theme Park,1994,Simulation,Electronic Arts,,,570000
Far Cry Instincts,2005,Shooter,Ubisoft,85,M,570000
Hasbro Family Game Night,2008,Puzzle,Electronic Arts,,E,570000
Tony Hawks Pro Skater 4,2002,Sports,Activision,85,E,570000
ATV Offroad Fury: Blazin Trails,2005,Racing,SouthPeak Games,63,E,570000
Tales of the Abyss,2005,Role-Playing,Namco Bandai Games,78,T,570000
Xenoblade Chronicles,2015,Role-Playing,Nintendo,,,570000
Payday 2,2013,Shooter,505 Games,75,M,570000
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,2000,Strategy,Namco Bandai Games,,,570000
Pro Evolution Soccer 2012,2011,Action,Konami Digital Entertainment,74,E,570000
Blacksite: Area 51,2007,Shooter,Midway Games,62,T,570000
Spyro Orange: The Cortex Conspiracy,2004,Action,Vivendi Games,60,E,570000
Petz Dogz 2,2007,Simulation,Ubisoft,,E,570000
Beyond The Beyond,1995,Role-Playing,Sony Computer Entertainment,,,570000
Ben 10: Alien Force,2008,Action,Koch Media,,E10+,570000
The Sims 3: World Adventures,2009,Simulation,Electronic Arts,81,T,570000
Madden NFL 06,2005,Sports,Electronic Arts,86,E,570000
Mega Man Star Force 2: Zerker x Ninja / Saurian,2007,Action,Capcom,,,570000
Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,,T,570000
BlazBlue: Calamity Trigger,2009,Fighting,PQube,87,T,570000
Final Fantasy Explorers,2014,Role-Playing,Square Enix,69,E10+,570000
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007,Action,Activision,,,570000
Iron Man,2008,Action,Sega,45,T,570000
Naruto: Ultimate Ninja 2,2004,Fighting,Namco Bandai Games,73,T,570000
Mario Party: Star Rush,2016,Misc,Nintendo,68,E,570000
NHL 10,2009,Sports,Electronic Arts,88,E10+,570000
The Mysterious Murasame Castle,1986,Action,Nintendo,,,570000
NBA Hangtime,1997,Sports,GT Interactive,,,570000
Zumba Fitness,2010,Sports,505 Games,,E,570000
Rock Band 3,2010,Misc,MTV Games,91,T,570000
Blood Wake,2001,Shooter,Microsoft Game Studios,71,T,570000
Dynasty Warriors 5: Xtreme Legends,2005,Action,Tecmo Koei,57,T,570000
Titanfall,2014,Shooter,Electronic Arts,86,M,570000
Rapala: We Fish,2009,Sports,Activision,,E,570000
Harvest Moon: Sunshine Islands,2008,Simulation,Rising Star Games,,,570000
Jampack Summer 2002,2002,Misc,Sony Computer Entertainment,,,570000
LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,62,E10+,570000
FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,77,E,570000
Wreckless: ThE YaKuza MisSiOns,2002,Racing,Activision,74,T,570000
Super Bomberman,1992,Puzzle,Hudson Soft,,,570000
Defiance,2013,Shooter,Trion Worlds,60,M,570000
Disgaea 4: A Promise Unforgotten,2011,Role-Playing,Nippon Ichi Software,80,T,570000
Doom 3 BFG Edition,2012,Shooter,Bethesda Softworks,67,M,570000
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,2008,Action,THQ,,E,570000
SpongeBob SquarePants: Battle for Bikini Bottom,2003,Platform,THQ,70,E,570000
SD Gundam G Generation Neo,2002,Strategy,Namco Bandai Games,,,570000
The Conduit,2009,Shooter,Sega,69,T,570000
Spider-Man 3,2007,Platform,Activision,63,T,570000
Trivial Pursuit,2009,Misc,Electronic Arts,67,E,570000
Up,2009,Action,THQ,62,E10+,570000
Disney Universe,2011,Action,Disney Interactive Studios,66,E10+,570000
Top Spin 3,2008,Action,Take-Two Interactive,75,E,570000
RalliSport Challenge,2002,Racing,Microsoft Game Studios,87,E,570000
Resident Evil Outbreak File #2,2004,Action,Capcom,58,M,570000
Bob the Builder: Can We Fix It?,2000,Action,THQ,,,570000
XIII,2003,Shooter,Ubisoft,73,M,570000
Tomb Raider: Anniversary,2007,Action,Eidos Interactive,78,T,570000
Bratz 4 Real,2007,Adventure,THQ,,E,570000
FIFA 15,2014,Sports,Electronic Arts,,E,570000
Yokai Sangokushi,2016,Action,Level 5,,,570000
3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,77,E10+,570000
Breath of Fire IV,2000,Role-Playing,Capcom,83,T,560000
True Crime: Streets of LA,2003,Action,Activision,77,M,560000
Odin Sphere,2007,Role-Playing,Square Enix,83,T,560000
Petz Wild Animals: Tigerz,2008,Simulation,Ubisoft,,E,560000
The Incredible Hulk,2003,Action,Universal Interactive,,,560000
Ms. Pac-Man Maze Madness,2004,Puzzle,Zoo Digital Publishing,,E,560000
The Legend of Spyro: Dawn of the Dragon,2008,Platform,Vivendi Games,64,E10+,560000
Arena Football,2006,Sports,Electronic Arts,66,E10+,560000
The Lord of the Rings: The Return of the King,2003,Action,Electronic Arts,77,T,560000
NHL Hitz 20-02,2001,Sports,Midway Games,78,E,560000
