Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
Call of Duty: Advanced Warfare,2014,Shooter,Activision,83,M,7680000
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,,,7620000
The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo,,,7600000
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,,,7580000
Super Mario Galaxy 2,2010,Platform,Nintendo,97,E,7540000
Super Mario Bros. 2,1988,Platform,Nintendo,,,7460000
Call of Duty: Black Ops 3,2015,Shooter,Activision,,,7440000
Call of Duty: World at War,2008,Shooter,Activision,84,M,7420000
Fallout 4,2015,Role-Playing,Bethesda Softworks,87,M,7410000
Battlefield 3,2011,Shooter,Electronic Arts,84,M,7330000
Uncharted 4: A Thiefs End,2016,Shooter,Sony Computer Entertainment,93,T,7280000
Mario Kart 8,2014,Racing,Nintendo,88,E,7230000
Need for Speed Underground,2003,Racing,Electronic Arts,85,E,7200000
Just Dance,2009,Misc,Ubisoft,49,E10+,7200000
Battlefield 3,2011,Shooter,Electronic Arts,85,M,7180000
Tekken 3,1998,Fighting,Sony Computer Entertainment,96,T,7160000
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,95,T,7160000
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,91,E,7130000
Super Smash Bros. Melee,2001,Fighting,Nintendo,92,T,7070000
Mario Kart: Double Dash!!,2003,Racing,Nintendo,,,6950000
Need for Speed Underground 2,2004,Racing,Electronic Arts,82,E,6900000
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,88,T,6830000
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,,,6820000
Just Dance 4,2012,Misc,Ubisoft,74,E10+,6760000
Gears of War 2,2008,Shooter,Microsoft Game Studios,93,M,6750000
Uncharted 3: Drakes Deception,2011,Action,Sony Computer Entertainment,92,T,6740000
Zumba Fitness,2010,Sports,505 Games,,E,6720000
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,94,M,6690000
Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment,96,T,6670000
FIFA 12,2011,Sports,Electronic Arts,,,6650000
Big Brain Academy,2005,Misc,Nintendo,74,E,6630000
The Legend of Zelda,1986,Action,Nintendo,,,6510000
Red Dead Redemption,2010,Action,Take-Two Interactive,95,M,6510000
FIFA 14,2013,Sports,Electronic Arts,86,E,6480000
Donkey Kong Country Returns,2010,Platform,Nintendo,87,E,6470000
Assassins Creed III,2012,Action,Ubisoft,85,M,6460000
Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios,97,M,6430000
